,,,,,,,,,,,
３０．区内4地域別将来人口推計（中期）（2025～2035年）,,,,,,,,,,,
地域,2025年,2026年,2027年,2028年,2029年,2030年,2031年,2032年,2033年,2034年,2035年
4地域計,"341,322","343,580","345,918","348,476","351,238","354,109","357,128","360,278","363,612","367,076","370,738"
中部,"103,341","104,055","104,824","105,710","106,693","107,732","108,873","110,093","111,387","112,771","114,234"
南部,"74,461","74,943","75,432","75,927","76,438","76,962","77,492","78,040","78,648","79,258","79,907"
北部,"89,444","89,904","90,367","90,894","91,465","92,060","92,688","93,329","93,992","94,679","95,406"
鷺宮,"74,076","74,678","75,295","75,945","76,642","77,355","78,075","78,816","79,585","80,368","81,191"
（各地区の割合）,,,,,,,,,,,
中部,30.3%,30.3%,30.3%,30.3%,30.4%,30.4%,30.5%,30.6%,30.6%,30.7%,30.8%
南部,21.8%,21.8%,21.8%,21.8%,21.8%,21.7%,21.7%,21.7%,21.6%,21.6%,21.6%
北部,26.2%,26.2%,26.1%,26.1%,26.0%,26.0%,26.0%,25.9%,25.8%,25.8%,25.7%
鷺宮,21.7%,21.7%,21.8%,21.8%,21.8%,21.8%,21.9%,21.9%,21.9%,21.9%,21.9%
（年少人口割合）,,,,,,,,,,,
中部,8.3 ,8.3 ,8.2 ,8.1 ,8.0 ,7.9 ,7.7 ,7.6 ,7.5 ,7.4 ,7.3 
南部,8.0 ,8.0 ,7.9 ,7.8 ,7.7 ,7.6 ,7.5 ,7.3 ,7.2 ,7.2 ,7.2 
北部,8.9 ,8.8 ,8.7 ,8.6 ,8.4 ,8.3 ,8.2 ,8.1 ,7.9 ,7.8 ,7.8 
鷺宮,10.1 ,10.1 ,10.1 ,10.0 ,9.9 ,9.8 ,9.7 ,9.6 ,9.5 ,9.4 ,9.4 
（生産年齢人口割合）,,,,,,,,,,,
中部,73.7 ,73.9 ,74.1 ,74.4 ,74.6 ,74.7 ,74.9 ,75.2 ,75.3 ,75.4 ,75.5 
南部,72.7 ,72.9 ,73.2 ,73.4 ,73.6 ,73.9 ,73.9 ,74.3 ,74.3 ,74.2 ,74.2 
北部,70.5 ,70.7 ,70.9 ,71.1 ,71.3 ,71.4 ,71.5 ,71.8 ,71.8 ,71.8 ,71.7 
鷺宮,69.2 ,69.3 ,69.5 ,69.7 ,69.9 ,70.0 ,70.0 ,70.4 ,70.4 ,70.4 ,70.5 
（老年人口割合）,,,,,,,,,,,
中部,18.0 ,17.8 ,17.6 ,17.5 ,17.4 ,17.4 ,17.4 ,17.1 ,17.2 ,17.2 ,17.1 
南部,19.3 ,19.2 ,19.0 ,18.8 ,18.7 ,18.6 ,18.6 ,18.3 ,18.5 ,18.6 ,18.7 
北部,20.6 ,20.5 ,20.4 ,20.3 ,20.3 ,20.3 ,20.3 ,20.2 ,20.3 ,20.4 ,20.5 
鷺宮,20.7 ,20.6 ,20.4 ,20.3 ,20.2 ,20.2 ,20.3 ,20.0 ,20.1 ,20.2 ,20.2 
注）　2025年1月1日現在の住民基本台帳上の人口を基準として算出（外国人を含む）,,,,,,,,,,,
　　　なお，4地域別の人口をもとに算出しているため，4地域別の推計値の合計は，区全体で算出した推計値と一致しない。,,,,,,,,,,,
　　　中部（中野，中央，上高田，東中野）,,,,,,,,,,,
　　　南部（南台，弥生町，本町）,,,,,,,,,,,
　　　北部（新井，沼袋，野方，松が丘，江古田，江原町，丸山）,,,,,,,,,,,
　　　鷺宮（大和町，若宮，白鷺，鷺宮，上鷺宮）,,,,,,,,,,,
資料　総務課,,,,,,,,,,,
