年度,Fiscal year,地域コード,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
令和元,2019,13100,区部,All ku,3916272,18069,487798,2031503,272391,6692,1980,55649,369629,48564,553190,529,70080,197
令和2,2020,13100,区部,All ku,4991441,17994,1468036,2079170,308774,6646,2224,68366,378554,34154,570113,590,56819,-
令和3,2021,13100,区部,All ku,4467492,17427,567169,2273140,454517,6151,2156,70775,354025,30678,630693,131,60088,541
令和4,2022,13100,区部,All ku,4529469,17419,569798,2281350,460746,6618,3721,78929,372774,36245,648453,-,53004,413
令和5,2023,13100,区部,All ku,4680633,17851,616478,2377171,379104,6531,2794,80210,434785,37241,668600,-,59762,105
令和5,2023,13101,千代田区,Chiyoda-ku,71380,510,10838,25249,5644,116,-,2189,9466,446,16921,-,0,-
令和5,2023,13102,中央区,Chuo-ku,161808,591,29122,41129,10939,176,61,3836,39119,490,34934,-,1411,-
令和5,2023,13103,港区,Minato-ku,168111,698,28285,76644,14113,100,-,4551,17181,6871,19636,-,32,-
令和5,2023,13104,新宿区,Shinjuku-ku,178300,717,22241,96840,18378,1116,-,7951,9902,1212,17914,-,2029,-
令和5,2023,13105,文京区,Bunkyo-ku,117981,648,15719,58226,10717,214,-,1971,6581,1194,22083,-,628,-
令和5,2023,13106,台東区,Taito-ku,115422,656,18156,60051,10485,180,-,4635,5407,666,13757,-,1429,-
令和5,2023,13107,墨田区,Sumida-ku,141886,637,20327,73297,12826,199,-,3050,12755,871,14533,-,3392,-
令和5,2023,13108,江東区,Koto-ku,233187,830,22825,127271,21977,167,-,2337,11196,4102,40327,-,2153,-
令和5,2023,13109,品川区,Shinagawa-ku,193796,805,22646,96820,16967,363,-,3869,16728,3257,31251,-,1091,-
令和5,2023,13110,目黒区,Meguro-ku,123774,692,17265,60999,13334,221,8,1225,8892,705,19302,-,1134,-
令和5,2023,13111,大田区,Ota-ku,312329,1058,27459,174462,24577,95,17,6217,26360,5056,45302,-,1725,-
令和5,2023,13112,世田谷区,Setagaya-ku,370377,925,48006,188758,32332,261,279,3394,41552,930,44180,-,9759,-
令和5,2023,13113,渋谷区,Shibuya-ku,123314,729,30122,50142,11178,184,-,2772,13223,877,13453,-,634,-
令和5,2023,13114,中野区,Nakano-ku,198577,1023,36734,81395,13144,100,1,1182,27927,1869,24973,-,10229,-
令和5,2023,13115,杉並区,Suginami-ku,225895,894,25778,124154,19592,487,157,1923,13938,1041,35048,-,2884,-
令和5,2023,13116,豊島区,Toshima-ku,144083,637,20488,76021,14711,78,-,1538,14037,526,13402,-,2646,-
令和5,2023,13117,北区,Kita-ku,199197,749,35416,92763,14262,108,-,2797,21057,789,27600,-,3654,-
令和5,2023,13118,荒川区,Arakawa-ku,117399,607,12754,59845,8740,132,-,2515,15134,544,15136,-,1990,-
令和5,2023,13119,板橋区,Itabashi-ku,257697,859,26495,147702,18978,162,146,3710,20538,533,36008,-,2565,-
令和5,2023,13120,練馬区,Nerima-ku,312287,1004,25770,181879,25563,984,1822,3606,25572,1042,40170,-,4874,-
令和5,2023,13121,足立区,Adachi-ku,317160,955,18516,193416,20920,281,94,5251,22995,1077,50145,-,3509,-
令和5,2023,13122,葛飾区,Katsushika-ku,273038,766,61283,125407,17183,598,45,7795,26543,1658,29672,-,1983,105
令和5,2023,13123,江戸川区,Edogawa-ku,323633,861,40231,164700,22543,208,164,1896,28681,1485,62852,-,12,-
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (令和元～5年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2019-2023 ),,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,
